global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
263488,1,1.40669306779304,-0.85130615,8.5613015E-4,8.2200236E-4,3,66.102554,1.9602681,66.102554,1.9602681,578.96918,11.608904,1267.1016,16.989864,1707.8163,29.318329,1905.2135,49.734131
263552,1,1.12519521333971,-1.9956905,0.0010640848,0.0010556065,3,113.16209,2.4678121,113.16209,2.4678121,302.64163,5.1830869,431.95523,6.8918004,486.6553,6.1241455,502.90366,5.8941941
263616,1,1.56657640440835,-0.75861568,0.002477874,0.0023843192,3,39.221802,0.91184872,39.221802,0.91184872,114.01028,2.6388807,163.05264,2.7805684,185.58795,2.6084688,195.35289,2.7101765
263680,1,1.42824440682522,-1.99432293,0.0021786946,0.0021877065,3,27.227949,0.70969087,27.227949,0.70969087,72.962997,1.2746499,103.1597,1.674666,118.75906,1.5462267,122.58405,1.7131376
263744,1,1.29265180611975,-1.92034928,0.0033139484,0.0033015322,3,1.8952039,0.19445363,1.8952039,0.19445363,15.881927,0.31054503,54.232803,0.9023937,92.280525,1.2202547,123.0865,1.7083113
263808,1,0.855500359185655,-1.0182287,4.9299345E-4,5.2061153E-4,3,429.52313,9.5229454,429.52313,9.5229454,1609.6403,36.231926,2860.041,48.476627,3608.2625,2.6586626,4010.9636,51.129509
263872,1,0.849256451177504,-1.06081407,0.0044050445,0.0046154824,3,4.9325519,0.3139289,4.9325519,0.3139289,25.882851,0.60934854,50.455761,0.89831817,62.599026,1.3594625,68.427551,1.4147583
263936,1,0.685667133440518,-0.97930639,0.0030318324,0.0033117852,3,23.439817,0.69986492,23.439817,0.69986492,67.590706,1.5453681,100.22684,1.7385468,109.33277,2.3246071,112.84791,1.9395988
264064,1,2.18234283157646,-1.95541588,0.001794608,0.0017882766,3,31.192495,0.87415761,31.192495,0.87415761,100.93577,1.3861815,152.87125,1.5407296,174.22536,1.9906303,182.76247,3.2710145
264128,1,2.81732398006998,-2.17324844,0.061673962,0.053541519,3,773.35339,25.497456,773.35339,25.497456,2604.6436,46.468533,3937.9766,2.2240131,4500.2251,2.7063525,4662.0869,80.436783
264192,1,1.75316739317608,-1.94846741,0.0030051926,0.0027678914,3,24.375154,0.6524933,24.375154,0.6524933,77.133904,1.4883358,113.8782,1.6748704,133.90218,3.7486851,139.28583,1.9449658
264256,1,1.91079486625296,-2.04293076,0.0035623144,0.0033823834,3,12.667855,0.43966419,12.667855,0.43966419,45.780342,0.89464837,73.811897,1.1016684,85.283417,2.4008653,94.536285,1.5980886
264320,1,1.75699425093208,-1.91118351,0.0057841619,0.0053994562,3,5.0353379,0.29565391,5.0353379,0.29565391,31.981335,0.6375398,79.863396,1.1918477,107.60825,3.0209963,146.25365,2.0247977
264448,1,0.673582203802763,-1.33034818,0.0039655748,0.0041092886,3,1.868314,0.23689218,1.868314,0.23689218,15.795625,0.32427415,50.509758,0.6695503,84.339363,1.4007925,112.5811,1.8672874
264512,1,0.983680944043947,-1.3935272,0.0032807572,0.0033550023,3,10.302891,0.39339799,10.302891,0.39339799,35.647484,0.67888582,60.573006,0.78664064,75.450111,1.2563022,80.922867,1.4247588
264704,1,2.60499224501683,-2.1961881,0.0021774466,0.0020793071,3,3.1305079,0.30080593,3.1305079,0.30080593,26.205336,0.50303149,89.624504,1.2169269,259.44955,4.6888452,471.73169,8.38591
264832,1,2.61679519171228,-2.1917211,0.0011624806,0.0011566983,3,13.595126,0.58690953,13.595126,0.58690953,112.44781,2.0328982,303.14551,4.0007043,451.03424,8.0600615,562.37067,9.9395523
200704,1,1.66547128776177,-1.095357118,0.0017331756,0.001660023,3,73.165855,1.3729129,73.165855,1.3729129,177.34657,2.5989723,244.40021,4.313632,272.25128,3.7482376,278.30176,4.3245087
200768,1,1.66716305140602,-0.92998809,0.0011564114,0.0011225265,3,83.386887,1.5307673,83.386887,1.5307673,282.91522,4.119554,489.53571,8.6034441,620.74146,8.4633389,684.83972,10.02144
200832,1,1.99059555649042,-0.96171015,0.0020979876,0.0020710144,3,21.24308,0.63096493,21.24308,0.63096493,95.592674,1.4232861,173.00751,3.0678167,218.31438,3.0271914,243.10716,3.8451869
201024,1,2.44623692057647,-1.03428476,0.0027991366,0.0027532876,3,2.4967,0.32985231,2.4967,0.32985231,28.783663,0.47295934,111.00982,2.2453437,299.79886,2.9189274,522.28448,9.2155132
