global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
713920,79,178.727117049964,-0.1224872,0.0013938043,0.0013088509,3,11.157785,0.41069189,11.157785,0.41069189,120.60574,2.2385767,382.33307,6.5907965,589.49994,9.0841551,761.34198,12.513453
714304,79,179.19238603696,-0.42842022,0.0017647069,0.0016892871,3,53.859726,2.3076048,53.859726,2.3076048,185.17152,3.9456098,304.62457,3.899117,355.82651,7.678689,377.39346,8.3077002
714496,79,179.057599075002,-0.0653964999999999,0.0010512478,9.786872E-4,3,171.56509,4.7684512,171.56509,4.7684512,529.2384,12.600378,776.53552,10.88523,794.35687,17.865698,899.27594,15.818152
714560,79,179.365683731776,-0.0508729999999999,0.0023967051,0.0021792459,3,55.265976,1.6368629,55.265976,1.6368629,133.56757,3.1983178,178.56206,2.5403876,197.78604,4.4741497,201.25603,3.7999198
714816,79,179.664301818343,-0.33308808,5.5848615E-4,5.2045751E-4,3,149.92502,4.4113688,149.92502,4.4113688,1249.6008,28.704338,3110.5396,44.572079,4252.7842,126.84222,4838.4419,72.100769
714880,79,179.498778769278,-0.38529793,0.0018520157,0.0017225426,3,21.364786,0.77428514,21.364786,0.77428514,141.86333,3.2823601,297.89609,4.3045506,402.05453,12.014473,473.41174,7.2897606
714944,79,178.923859451457,-0.43303219,5.1295565E-4,4.9849687E-4,3,674.19891,16.898359,674.19891,16.898359,2110.9153,32.699406,3272.5603,50.054165,3829.752,73.935295,4088.616,82.712646
715008,79,179.663415505833,-0.433139,0.0072578341,0.0068817134,3,10.778491,0.4949545,10.778491,0.4949545,27.054377,0.65678489,36.067806,0.58184838,39.656734,1.2265121,38.530315,1.1137854
715072,79,179.806581443109,-0.4304258,0.0071149715,0.0067343502,3,7.7957878,0.42014554,7.7957878,0.42014554,23.417387,0.57431698,37.080894,0.60096198,45.448345,1.3968865,48.647392,1.2311023
715136,79,179.807588525046,-0.41319958,0.0070955367,0.0065464717,3,3.2294171,0.33794582,3.2294171,0.33794582,20.000601,0.49815488,36.716034,0.59642255,47.564144,1.4601512,54.736496,1.3056544
715200,79,178.145470505211,-0.41626183,0.0026946841,0.002619039,3,34.886425,0.92577994,34.886425,0.92577994,111.59913,2.465441,163.24782,2.5392408,192.66295,3.4039016,208.46007,4.0482178
833536,79,180.457756549552,-1.76026932,0.070374861,0.079450198,3,1174.6832,19.637133,1174.6832,19.637133,1293.9995,1.3716918,3368.5442,2.1636457,8037.6475,3.7094069,8261.6045,152.17307
833600,79,180.612443396977,-1.76328198,0.0024015289,0.0026285967,3,27.532705,0.68951696,27.532705,0.68951696,103.74599,2.2693012,173.70738,2.4754069,208.62488,2.6750593,225.5587,4.4214473
592064,79,178.882649873018,-2.06193653,0.00731612,0.0067893066,3,9.6086006,0.45893884,9.6086006,0.45893884,29.937397,0.55810124,47.518837,0.86210388,60.277596,1.3342658,64.898201,2.1227021
592128,79,179.027870203841,-2.10240284,0.0026126218,0.0025301471,3,14.699822,0.59174842,14.699822,0.59174842,93.600937,1.6577867,205.05228,3.4503894,275.62082,5.7386031,321.51819,5.9532247
592384,79,179.195165556304,-2.12781826,0.0057899985,0.0054932232,3,5.2617669,0.40840667,5.2617669,0.40840667,28.934837,0.63022912,63.959579,1.181214,87.433769,1.3188068,102.32061,2.6521468
592448,79,179.495636754041,-2.01019875,0.0074812546,0.0069563994,3,5.9620042,0.43945223,5.9620042,0.43945223,25.429811,0.56051928,45.919552,0.88061237,56.41156,0.89843559,64.511978,2.0583496
592576,79,178.124966236572,-1.66601199,0.0060453769,0.0055036722,3,10.884075,0.47343081,10.884075,0.47343081,31.165598,1.4074948,48.636112,1.541599,55.950901,0.91199774,66.514565,2.0077975
592640,79,178.445417966737,-1.63044757,0.0023431464,0.0021620356,3,51.1684,0.86917955,51.1684,0.86917955,131.06389,1.8024338,179.76643,9.1112623,200.53975,2.5294094,212.60533,4.2083354
